Title: 350 micron Polarimetry from the Caltech Submillimeter Observatory  
Authors: Dotson J.L., Vaillancourt J.E., Kirby L., Dowell C.D., Hildebrand R.H.,
         Davidson J.A.
Table: Data
================================================================================
Byte-by-byte Description of file: apjs333144t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---    Name  Object name
  17- 20 I4     arcsec oRA   Right Ascension offset from center 
  22- 25 I4     arcsec oDE   Declination offset from center
  27- 31 F5.1   pix    oX    X pixel offset from center (1) 
  33- 37 F5.1   pix    oY    Y pixel offset from center (1)
  39- 43 F5.2   %      P     Polarization magnitude
  45- 49 F5.2   %    e_P     Uncertainty in P
  51- 55 F5.1   deg    PA    Polarization position angle; degrees east of north
  57- 62 F6.1   deg  e_PA    Uncertainty in PA
  64- 69 F6.1   Jy     Int   Source intensity in units of Jy/beam
  71- 74 F4.1   Jy   e_Int   Uncertainty in Int in units of Jy/beam
  76- 78 I3     ---    Num   Number of measurements
--------------------------------------------------------------------------------
Note (1): oX is parallel to RA, except M17 is 16 degrees CW from RA and M82 
          is 24 degrees CW from RA.  oY is parallel to Dec, except M17 is 
          16 degrees CW from Dec and M82 is 24 degrees CW from Dec. Pixel 
          offsets in the x- and y-directions are given in units of the pixel
          center-to-center spacing, 17.8 arcseconds. Right Ascension and 
          Declination offsets are calculated using this spacing and are 
          rounded to the nearest arcsecond; offsets are given with respect to 
          the object centers given in Table 1.
--------------------------------------------------------------------------------
NGC_253          -71  -18  -4.0  -1.0 14.28 21.54 177.8   43.5    9.0  2.0   7 
NGC_253          -71    0  -4.0   0.0 13.52 22.40 147.0   46.9    6.2  2.0   7 
NGC_253          -53  -36  -3.0  -2.0 18.78 17.91  37.5   27.2    4.8  0.5  11 
NGC_253          -53  -18  -3.0  -1.0  0.68  8.41  85.2  355.2    8.9  0.6  14 
NGC_253          -53    0  -3.0   0.0  6.65  5.68 131.8   24.7   13.0  0.8  15 
NGC_253          -53   18  -3.0   1.0  6.92 17.26  78.4   71.9    3.4  0.4  15 
NGC_253          -36  -36  -2.0  -2.0 24.24 11.99 142.5   14.0    5.7  0.4  15 
NGC_253          -36  -18  -2.0  -1.0  5.76  6.61  34.8   33.1    9.4  0.4  15 
NGC_253          -36    0  -2.0   0.0  4.43  4.34 172.0   28.4   14.7  0.6  15 
NGC_253          -36   18  -2.0   1.0  8.13  5.16  83.8   17.9   12.0  0.6  14 
NGC_253          -36   36  -2.0   2.0 11.92 24.22 171.5   57.0    3.0  0.5  15 
NGC_253          -18  -53  -1.0  -3.0 16.00 29.21  18.2   51.5    3.1  0.6   8 
NGC_253          -18  -36  -1.0  -2.0 17.51 13.76 116.1   23.2    4.2  0.4  15 
NGC_253          -18  -18  -1.0  -1.0  2.26  2.72 147.6   34.4   19.9  0.4  15 
NGC_253          -18    0  -1.0   0.0  1.43  1.26  42.6   25.2   54.7  0.5  14 
NGC_253          -18   18  -1.0   1.0 10.83  6.57   6.7   17.1   10.2  0.6  14 
NGC_253          -18   36  -1.0   2.0 12.83  5.96  18.2   13.3   10.0  0.4  15 
NGC_253          -18   53  -1.0   3.0 11.02 19.83 131.5   51.4    5.7  1.0   7 
NGC_253           -0  -53   0.0  -3.0 48.41 25.37  69.8   14.5    3.7  0.7   8 
NGC_253           -0  -36   0.0  -2.0 28.43 16.35 164.9   17.1    3.9  0.4  15 
NGC_253           -0  -18   0.0  -1.0  2.90  5.57 111.7   56.3   10.6  0.4  15 
NGC_253            0    0   0.0   0.0  0.59  0.60  33.1   29.5  110.0  0.5  15 
NGC_253            0   18   0.0   1.0  6.81  3.74 169.9   15.7   17.1  0.5  15 
NGC_253            0   36   0.0   2.0 10.43  6.21 145.7   16.6   10.0  0.4  15 
NGC_253            0   53   0.0   3.0 21.26 17.80 147.7   24.8    5.2  0.8   7 
NGC_253           18  -36   1.0  -2.0  3.02 14.88  89.7  141.2    4.7  0.4  12 
NGC_253           18  -18   1.0  -1.0 18.91 10.32  14.7   15.7    5.8  0.4  15 
NGC_253           18   -0   1.0   0.0  1.94  2.82 162.7   41.9   20.1  0.4  15 
NGC_253           18   18   1.0   1.0 14.76  4.48 172.3    8.7   14.6  0.5  15 
NGC_253           18   36   1.0   2.0 16.65 13.39 129.8   22.9    6.3  0.7  11 
NGC_253           18   53   1.0   3.0 16.15 21.47  41.2   37.8    6.7  1.5   4 
NGC_253           36  -18   2.0  -1.0 14.61  8.72  64.9   16.5    9.0  0.7   8 
NGC_253           36   -0   2.0   0.0  9.70 10.22  78.5   30.2    7.9  0.7   8 
NGC_253           36   18   2.0   1.0  7.31 10.23  88.5   39.9    8.8  0.9   8 
NGC_253           36   36   2.0   2.0  6.92 15.42 124.1   61.3    8.0  1.8   4 
W3              -125  -18  -7.0  -1.0  0.41  1.20 112.2   84.0  101.2 14.3   3 
W3              -125    0  -7.0   0.0  0.66  0.44  49.7   19.2   94.9  2.0  12 
W3              -125   18  -7.0   1.0  1.60  0.45  30.7    8.0   89.4  1.8  17 
