Table 1 
Zeeman Data


Name	Species	Ref	n_H (cm^-3)	B_Z (muG)	sigma (muG)	
W3OH	OH*	1	1.3 x 10^7	3100	400	
SgrB2(north)	H I	1	5.0 x 10^3	-480	51	
SgrB2(main)	H I	1	6.3 x 10^4	550	59	
W3(main)	H I	1	6.3 x 10^5	400	20	
S106	OH	1	4.0 x 10^5	400	23	
NGC 2024	OH	1	1.3 x 10^4	87.0	5.5	
S88B	OH	1	1.3 x 10^4	69	5	
B1	OH	1	2.0 x 10^4	27.0	4.0	
W49B	OH	1	2.0 x 10^3	21.0	5.0	
W22	OH	1	2.0 x 10^3	-18.0	2.0	
W40	OH	1	1.0 x 10^3	-14.0	2.6	
rho Oph1	OH	1	3.2 x 10^3	9.5	3.0	
rho Oph2	OH	1	2.0 x 10^3	1.3	4.3	
L1495W	OH	1	2.0 x 10^3	5.2	2.5	
L1521	OH	1	2.0 x 10^3	-0.4	2.7	
L1647	OH	1	2.0 x 10^3	-4.7	3.5	
L889	OH	1	2.0 x 10^3	-0.6	2.1	
Taurus16	OH	1	2.0 x 10^3	0.6	2.2	
TaurusG	OH	1	2.0 x 10^3	7.5	3.0	
TMC1	OH	1	2.0 x 10^3	2.0	3.7	
L183	OH	1	2.5 x 10^3	-1.0	5.1	
L134	OH	1	3.2 x 10^3	-2.6	3.3	
TMC-1C	OH	1	2.0 x 10^4	1.4	2.4	
3C120	H I	2	5.3 x 10^1	-1.6	1.9	
3C120	H I	2	6.0 x 10^1	5.2	3.8	
3C120	H I	2	5.1 x 10^1	3.6	2.8	
3C123	H I	2	1.2 x 10^1	4.8	4.2	
3C123	H I	2	1.3 x 10^2	-2.6	1.0	
3C123	H I	2	5.5 x 10^1	1.2	8.6	
3C131	H I	2	5.0 x 10^1	0.7	8.4	
3C132	H I	2	2.6 x 10^1	9.7	5.5	
3C132	H I	2	4.0 x 10^1	4.2	1.0	
3C132	H I	2	7.3 x 10^1	-4.0	3.8	
3C133	H I	2	5.8 x 10^1	5.8	1.1	
3C133	H I	2	5.1 x 10^1	-0.3	1.7	
3C133	H I	2	3.4 x 10^1	-9.5	6.3	
3C138	H I	2	5.6 x 10^1	5.6	1.0	
3C138	H I	2	4.8 x 10^1	-5.6	2.2	
3C138	H I	2	4.3 x 10^1	7.3	3.4	
3C138	H I	2	4.1 x 10^1	10.6	3.1	
3C142.1	H I	2	4.6 x 10^1	-8.3	1.3	
3C142.1	H I	2	9.7 x 10^1	7.2	7.4	
3C18	H I	2	6.5 x 10^1	-1.2	1.5	
3C18	H I	2	4.6 x 10^1	12.8	7.0	
3C207	H I	2	1.1 x 10^2	-1.9	2.2	
3C207	H I	2	9.1 x 10^1	-3.2	3.7	
3C225a	H I	2	1.0 x 10^2	-1.2	4.9	
3C225b	H I	2	1.3 x 10^2	-1.3	1.1	
3C237	H I	2	1.6 x 10^2	-0.7	1.1	
3C310	H I	2	5.8 x 10^1	-2.7	1.3	
3C315	H I	2	5.1 x 10^1	-0.1	1.1	
3C315	H I	2	3.7 x 10^1	3.9	6.3	
3C318	H I	2	6.6 x 10^1	-0.2	4.1	
3C318	H I	2	3.7 x 10^1	-4.6	7.6	
3C333	H I	2	8.3 x 10^1	3.0	1.7	
3C348	H I	2	1.9 x 10^2	1.4	1.5	
3C348	H I	2	6.9 x 10^1	0.0	0.9	
3C348	H I	2	2.0 x 10^1	0.5	6.4	
3C353	H I	2	6.1 x 10^1	4.2	2.0	
3C353	H I	2	8.4 x 10^1	5.1	2.0	
3C409	H I	2	6.8 x 10^1	3.3	1.2	
3C409	H I	2	5.3 x 10^1	3.0	1.7	
3C409	H I	2	5.7 x 10^1	5.4	1.0	
3C409	H I	2	5.8 x 10^1	0.6	1.0	
3C409	H I	2	7.3 x 10^1	3.2	2.5	
3C410	H I	2	3.8 x 10^1	1.4	1.0	
3C410	H I	2	3.5 x 10^1	0.2	2.1	
3C410	H I	2	5.3 x 10^1	4.4	3.0	
3C410	H I	2	4.0 x 10^1	5.2	2.3	
3C433	H I	2	1.3 x 10^2	-0.7	3.8	
3C433	H I	2	2.1 x 10^1	-0.6	3.3	
3C433	H I	2	2.4 x 10^1	6.7	6.6	
3C454.3	H I	2	2.6 x 10^1	6.6	3.6	
3C454.3	H I	2	4.8 x 10^1	3.4	2.9	
3C454.3	H I	2	5.4 x 10^1	-2.1	0.9	
3C454.3	H I	2	2.5 x 10^2	0.8	4.4	
3C75	H I	2	6.2 x 10^1	5.0	1.5	
3C75	H I	2	6.1 x 10^1	-16.2	8.8	
3C78	H I	2	5.3 x 10^1	-4.6	1.0	
3C98	H I	2	8.1 x 10^1	-2.8	4.8	
3C98	H I	2	2.3 x 10^1	-2.4	3.8	
4C13.65	H I	2	7.1 x 10^1	5.2	3.6	
4C13.65	H I	2	6.4 x 10^1	-8.8	6.5	
4C13.67	H I	2	8.7 x 10^1	4.7	2.3	
4C13.67	H I	2	7.6 x 10^1	5.8	3.3	
Tau A	H I	2	9.1 x 10^0	2.1	3.3	
Tau A	H I	2	1.9 x 10^2	-3.1	0.6	
Tau A	H I	2	2.8 x 10^2	7.2	1.7	
Tau A	H I	2	4.9 x 10^1	2.1	1.4	
L1457S	OH	3	1.3 x 10^4	-13.0	3.8	
L1457Sn	OH	3	1.7 x 10^4	-21.3	8.3	
L1448-CO	OH	3	4.7 x 10^3	-26.0	3.7	
L1448-Coe	OH	3	4.2 x 10^3	-20.6	3.4	
L1455-CO	OH	3	2.2 x 10^3	-8.8	5.6	
N1333-8	OH	3	3.6 x 10^3	-4.0	7.8	
B5	OH	3	3.1 x 10^3	-10.8	4.2	
L1495(6)	OH	3	4.1 x 10^3	-5.1	5.1	
IRAM04191	OH	3	6.0 x 10^3	3.3	3.5	
B217-2	OH	3	3.4 x 10^3	13.5	3.7	
L1521E	OH	3	2.9 x 10^3	5.7	5.1	
L1521F	OH	3	5.1 x 10^3	-1.4	4.0	
L1524-2	OH	3	4.2 x 10^3	-5.4	3.8	
L1524-4	OH	3	5.2 x 10^3	-1.2	3.6	
L1551S1	OH	3	4.2 x 10^3	6.1	4.1	
B18-5	OH	3	1.1 x 10^4	-3.6	5.2	
L1534	OH	3	5.4 x 10^3	1.2	7.4	
TMC1	OH	3	1.0 x 10^4	9.1	2.2	
L1507A1	OH	3	3.8 x 10^3	-0.3	4.0	
CB23	OH	3	3.0 x 10^3	-6.7	3.6	
L1544	OH	3	3.2 x 10^3	10.8	1.7	
L Ori 1	OH	3	1.5 x 10^3	-15.0	4.5	
Ros 4	OH	3	4.8 x 10^2	-4.4	9.8	
Mon16W	OH	3	1.7 x 10^3	7.2	8.1	
Mon16	OH	3	2.2 x 10^3	51	26	
Mon16N	OH	3	1.8 x 10^3	4.2	6.9	
L723	OH	3	2.5 x 10^3	3.0	5.5	
L771	OH	3	1.9 x 10^3	-1.6	3.7	
L774w	OH	3	3.7 x 10^3	-9.1	6.2	
L774	OH	3	4.8 x 10^3	-5.9	3.1	
L663	OH	3	3.3 x 10^3	3.4	5.5	
L694n	OH	3	2.6 x 10^3	3.7	2.8	
L694s	OH	3	2.1 x 10^3	1.8	4.0	
L810	OH	3	1.6 x 10^3	8.6	8.8	
NGC 2024	CN	4	1.2 x 10^6	10	120	
OMC1s	CN	4	3.6 x 10^6	40	240	
OMC1n1	CN	4	3.6 x 10^6	-360	80	
OMC1n4	CN	4	2.8 x 10^6	80	100	
S106CN	CN	4	2.0 x 10^5	-60	200	
S106OH	CN	4	2.0 x 10^5	-520	380	
M17SWHI	CN	4	1.2 x 10^6	140	130	
M17SWCN	CN	4	1.2 x 10^6	-220	80	
S140	CN	4	1.2 x 10^6	250	90	
DR21OH1	CN	4	3.4 x 10^5	-360	100	
DR21OH2	CN	4	3.4 x 10^5	-710	120	
W3OH	CN	4	3.0 x 10^5	1100	330	
G10.6	CN	4	2.8 x 10^6	740	270	
S255	CN	4	7.4 x 10^5	-730	340	
Notes. OH* is a rotational state of OH 120 K above the ground state, requiring high densities for excitation.
References. (1) Crutcher 1999; (2) Heiles & Troland 2004; (3) Troland & Crutcher 2008; (4) Falgarone et al. 2008.
