Name,Species,Ref,n_H (cm^-3),B_Z (muG),sigma (muG)
W3OH,OH*,1,13000000.0,3100.0,400.0
SgrB2(north),H I,1,5000.0,-480.0,51.0
SgrB2(main),H I,1,63000.0,550.0,59.0
W3(main),H I,1,630000.0,400.0,20.0
S106,OH,1,400000.0,400.0,23.0
NGC 2024,OH,1,13000.0,87.0,5.5
S88B,OH,1,13000.0,69.0,5.0
B1,OH,1,20000.0,27.0,4.0
W49B,OH,1,2000.0,21.0,5.0
W22,OH,1,2000.0,-18.0,2.0
W40,OH,1,1000.0,-14.0,2.6
rho Oph1,OH,1,3200.0,9.5,3.0
rho Oph2,OH,1,2000.0,1.3,4.3
L1495W,OH,1,2000.0,5.2,2.5
L1521,OH,1,2000.0,-0.4,2.7
L1647,OH,1,2000.0,-4.7,3.5
L889,OH,1,2000.0,-0.6,2.1
Taurus16,OH,1,2000.0,0.6,2.2
TaurusG,OH,1,2000.0,7.5,3.0
TMC1,OH,1,2000.0,2.0,3.7
L183,OH,1,2500.0,-1.0,5.1
L134,OH,1,3200.0,-2.6,3.3
TMC-1C,OH,1,20000.0,1.4,2.4
3C120,H I,2,53.0,-1.6,1.9
3C120,H I,2,60.0,5.2,3.8
3C120,H I,2,51.0,3.6,2.8
3C123,H I,2,12.0,4.8,4.2
3C123,H I,2,130.0,-2.6,1.0
3C123,H I,2,55.0,1.2,8.6
3C131,H I,2,50.0,0.7,8.4
3C132,H I,2,26.0,9.7,5.5
3C132,H I,2,40.0,4.2,1.0
3C132,H I,2,73.0,-4.0,3.8
3C133,H I,2,58.0,5.8,1.1
3C133,H I,2,51.0,-0.3,1.7
3C133,H I,2,34.0,-9.5,6.3
3C138,H I,2,56.0,5.6,1.0
3C138,H I,2,48.0,-5.6,2.2
3C138,H I,2,43.0,7.3,3.4
3C138,H I,2,41.0,10.6,3.1
3C142.1,H I,2,46.0,-8.3,1.3
3C142.1,H I,2,97.0,7.2,7.4
3C18,H I,2,65.0,-1.2,1.5
3C18,H I,2,46.0,12.8,7.0
3C207,H I,2,110.0,-1.9,2.2
3C207,H I,2,91.0,-3.2,3.7
3C225a,H I,2,100.0,-1.2,4.9
3C225b,H I,2,130.0,-1.3,1.1
3C237,H I,2,160.0,-0.7,1.1
3C310,H I,2,58.0,-2.7,1.3
3C315,H I,2,51.0,-0.1,1.1
3C315,H I,2,37.0,3.9,6.3
3C318,H I,2,66.0,-0.2,4.1
3C318,H I,2,37.0,-4.6,7.6
3C333,H I,2,83.0,3.0,1.7
3C348,H I,2,190.0,1.4,1.5
3C348,H I,2,69.0,0.0,0.9
3C348,H I,2,20.0,0.5,6.4
3C353,H I,2,61.0,4.2,2.0
3C353,H I,2,84.0,5.1,2.0
3C409,H I,2,68.0,3.3,1.2
3C409,H I,2,53.0,3.0,1.7
3C409,H I,2,57.0,5.4,1.0
3C409,H I,2,58.0,0.6,1.0
3C409,H I,2,73.0,3.2,2.5
3C410,H I,2,38.0,1.4,1.0
3C410,H I,2,35.0,0.2,2.1
3C410,H I,2,53.0,4.4,3.0
3C410,H I,2,40.0,5.2,2.3
3C433,H I,2,130.0,-0.7,3.8
3C433,H I,2,21.0,-0.6,3.3
3C433,H I,2,24.0,6.7,6.6
3C454.3,H I,2,26.0,6.6,3.6
3C454.3,H I,2,48.0,3.4,2.9
3C454.3,H I,2,54.0,-2.1,0.9
3C454.3,H I,2,250.0,0.8,4.4
3C75,H I,2,62.0,5.0,1.5
3C75,H I,2,61.0,-16.2,8.8
3C78,H I,2,53.0,-4.6,1.0
3C98,H I,2,81.0,-2.8,4.8
3C98,H I,2,23.0,-2.4,3.8
4C13.65,H I,2,71.0,5.2,3.6
4C13.65,H I,2,64.0,-8.8,6.5
4C13.67,H I,2,87.0,4.7,2.3
4C13.67,H I,2,76.0,5.8,3.3
Tau A,H I,2,9.1,2.1,3.3
Tau A,H I,2,190.0,-3.1,0.6
Tau A,H I,2,280.0,7.2,1.7
Tau A,H I,2,49.0,2.1,1.4
L1457S,OH,3,13000.0,-13.0,3.8
L1457Sn,OH,3,17000.0,-21.3,8.3
L1448-CO,OH,3,4700.0,-26.0,3.7
L1448-Coe,OH,3,4200.0,-20.6,3.4
L1455-CO,OH,3,2200.0,-8.8,5.6
N1333-8,OH,3,3600.0,-4.0,7.8
B5,OH,3,3100.0,-10.8,4.2
L1495(6),OH,3,4100.0,-5.1,5.1
IRAM04191,OH,3,6000.0,3.3,3.5
B217-2,OH,3,3400.0,13.5,3.7
L1521E,OH,3,2900.0,5.7,5.1
L1521F,OH,3,5100.0,-1.4,4.0
L1524-2,OH,3,4200.0,-5.4,3.8
L1524-4,OH,3,5200.0,-1.2,3.6
L1551S1,OH,3,4200.0,6.1,4.1
B18-5,OH,3,11000.0,-3.6,5.2
L1534,OH,3,5400.0,1.2,7.4
TMC1,OH,3,10000.0,9.1,2.2
L1507A1,OH,3,3800.0,-0.3,4.0
CB23,OH,3,3000.0,-6.7,3.6
L1544,OH,3,3200.0,10.8,1.7
L Ori 1,OH,3,1500.0,-15.0,4.5
Ros 4,OH,3,480.0,-4.4,9.8
Mon16W,OH,3,1700.0,7.2,8.1
Mon16,OH,3,2200.0,51.0,26.0
Mon16N,OH,3,1800.0,4.2,6.9
L723,OH,3,2500.0,3.0,5.5
L771,OH,3,1900.0,-1.6,3.7
L774w,OH,3,3700.0,-9.1,6.2
L774,OH,3,4800.0,-5.9,3.1
L663,OH,3,3300.0,3.4,5.5
L694n,OH,3,2600.0,3.7,2.8
L694s,OH,3,2100.0,1.8,4.0
L810,OH,3,1600.0,8.6,8.8
NGC 2024,CN,4,1200000.0,10.0,120.0
OMC1s,CN,4,3600000.0,40.0,240.0
